search,split,n,time_taken
500,12500,10000,55971805
500,12500,10000,44412135
500,12500,10000,52805065
500,12500,10000,44800182
500,12500,10000,52165558
500,12500,10000,50757460
500,12500,10000,57788082
500,12500,10000,50132559
500,12500,10000,42889559
500,12500,10000,58989722
500,12500,10000,73577178
500,12500,10000,96002532
500,12500,10000,53911963
500,12500,10000,51839094
500,12500,10000,162870815
500,12500,10000,138201266
500,12500,10000,86117422
500,12500,10000,76285210
500,12500,10000,66882098
500,12500,10000,74049701
500,12500,10000,76351530
500,12500,10000,74700261
500,12500,10000,66225618
500,12500,10000,85469627
500,12500,10000,73182420
500,12500,10000,71520889
500,12500,10000,57695709
500,12500,10000,47212542
500,12500,10000,44485561
500,12500,10000,53015075
500,12500,10000,55821007
500,12500,10000,46944501
500,12500,10000,57078703
500,12500,10000,52548472
500,12500,10000,44691623
500,12500,10000,55223741
500,12500,10000,47685461
500,12500,10000,46216965
500,12500,10000,48718146
500,12500,10000,57355033
500,12500,10000,67772275
500,12500,10000,79238783
500,12500,10000,83296094
500,12500,10000,66492869
500,12500,10000,55224530
500,12500,10000,49379758
500,12500,10000,46964635
500,12500,10000,49140535
500,12500,10000,44356870
500,12500,10000,45588907
500,12500,10000,42265842
500,12500,10000,43332081
500,12500,10000,45819840
500,12500,10000,41655547
500,12500,10000,38309588
500,12500,10000,52005681
500,12500,10000,44794655
500,12500,10000,47120563
500,12500,10000,43676309
500,12500,10000,49003555
500,12500,10000,43271288
500,12500,10000,47972055
500,12500,10000,44002378
500,12500,10000,46059457
500,12500,10000,45668647
500,12500,10000,45807207
500,12500,10000,48868548
500,12500,10000,51689086
500,12500,10000,43562224
500,12500,10000,52454126
500,12500,10000,42676784
500,12500,10000,47205436
500,12500,10000,56808690
500,12500,10000,45590486
500,12500,10000,133819069
500,12500,10000,63375472
500,12500,10000,62990584
500,12500,10000,61803550
500,12500,10000,57197920
500,12500,10000,55610997
500,12500,10000,48392075
500,12500,10000,45026773
500,12500,10000,44112120
500,12500,10000,48431946
500,12500,10000,44880317
500,12500,10000,48525109
500,12500,10000,54577128
500,12500,10000,50137691
500,12500,10000,53698794
500,12500,10000,42995353
500,12500,10000,58127573
500,12500,10000,43324580
500,12500,10000,52700059
500,12500,10000,45660752
500,12500,10000,44962032
500,12500,10000,44358843
500,12500,10000,57480171
500,12500,10000,49493053
500,12500,10000,49825439
500,12500,10000,50906283
500,12500,10000,51477497
500,12500,10000,45237968
500,12500,10000,52313197
500,12500,10000,45649699
500,12500,10000,168283723
500,12500,10000,145434793
500,12500,10000,46957529
500,12500,10000,53662871
500,12500,10000,54879118
500,12500,10000,50304673
500,12500,10000,47214121
500,12500,10000,44858211
500,12500,10000,50566002
500,12500,10000,44906372
500,12500,10000,47301362
500,12500,10000,51520525
500,12500,10000,43556697
500,12500,10000,51998970
500,12500,10000,49151588
500,12500,10000,49292122
500,12500,10000,51209062
500,12500,10000,52064500
500,12500,10000,53635238
500,12500,10000,43527091
500,12500,10000,60637437
500,12500,10000,51009710
500,12500,10000,52615976
500,12500,10000,44837289
500,12500,10000,57869402
500,12500,10000,63226649
500,12500,10000,48662879
500,12500,10000,45556931
500,12500,10000,45265995
500,12500,10000,51545394
500,12500,200000,1806265504
500,12500,200000,1628016141
500,12500,200000,1645137542
500,12500,200000,1641868164
500,12500,200000,1592257079
500,12500,200000,1600726590
500,12500,200000,1622383748
500,12500,200000,1614594798
500,12500,200000,1608283818
500,12500,200000,1580574245
500,12500,200000,1659621570
500,12500,200000,1596392948
500,12500,200000,1573750081
500,12500,200000,1600101689
500,12500,200000,1578656515
500,12500,200000,1581932998
500,12500,200000,1594533642
500,12500,200000,1669241798
500,12500,200000,1578312287
500,12500,200000,1575513066
500,12500,200000,1646710253
500,12500,200000,1564376971
500,12500,200000,1626126044
500,12500,200000,1640068861
500,12500,200000,1631993318
500,12500,200000,1618547105
500,12500,200000,1575578201
500,12500,200000,1605140762
500,12500,200000,1597836574
500,12500,200000,1577334869
500,12500,200000,1699833491
500,12500,200000,1662399476
500,12500,200000,1688646079
500,12500,200000,1717022000
500,12500,200000,1628128251
500,12500,200000,1617403099
500,12500,200000,1589660367
500,12500,200000,1655785321
500,12500,200000,1613682515
500,12500,200000,1659147467
500,12500,200000,1616864255
500,12500,200000,1594860106
500,12500,200000,1608499355
500,12500,200000,1600050371
500,12500,200000,1661815235
500,12500,200000,1627052539
500,12500,200000,1602615107
500,12500,200000,1628259706
500,12500,200000,1613965160
500,12500,200000,1602631687
500,12500,200000,1622521519
500,12500,200000,1585066185
500,12500,200000,1624922430
500,12500,200000,1613001953
500,12500,200000,1632356889
500,12500,200000,1646106275
500,12500,200000,1628973427
500,12500,200000,1664327468
500,12500,200000,1584279830
500,12500,200000,1614931525
500,12500,200000,1668612160
500,12500,200000,1597601299
500,12500,200000,1597000478
500,12500,200000,1630203884
500,12500,200000,1668460574
500,12500,200000,1608476065
500,12500,200000,1625085860
500,12500,200000,1632084507
500,12500,200000,1585512261
500,12500,200000,1623506043
