nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,16000,80000,2,2,3,843052096
2,124000,80000,2,2,3,258290469
2,2000,80000,2,2,3,922736765
2,16000,80000,2,2,3,946837806
2,124000,80000,2,2,3,267629213
2,2000,80000,2,2,3,956080625
2,16000,80000,2,2,3,873440812
2,124000,80000,2,2,3,215791426
2,2000,80000,2,2,3,939425077
2,16000,80000,2,2,3,839214672
2,124000,80000,2,2,3,273029477
2,2000,80000,2,2,3,1108542127
2,16000,80000,2,2,3,861178899
2,124000,80000,2,2,3,252085299
2,2000,80000,2,2,3,903385822
2,16000,80000,2,2,3,823385349
2,124000,80000,2,2,3,235877010
2,2000,70000,2,2,3,856461170
2,16000,70000,2,2,3,728041497
2,124000,70000,2,2,3,235414356
2,2000,70000,2,2,3,845137197
2,16000,70000,2,2,3,718767098
2,124000,70000,2,2,3,239541531
2,2000,70000,2,2,3,817850474
2,16000,70000,2,2,3,728316247
2,124000,70000,2,2,3,243412113
2,2000,70000,2,2,3,929661970
2,16000,70000,2,2,3,762206055
2,124000,70000,2,2,3,241651501
2,2000,70000,2,2,3,930638202
2,16000,70000,2,2,3,703484906
2,124000,70000,2,2,3,225562823
2,2000,70000,2,2,3,823237710
2,16000,70000,2,2,3,736538620
2,124000,70000,2,2,3,217563092
2,2000,70000,2,2,3,875457621
2,16000,70000,2,2,3,792810307
2,124000,70000,2,2,3,216618441
2,2000,70000,2,2,3,865572929
2,16000,70000,2,2,3,752329653
2,124000,70000,2,2,3,208258297
2,2000,70000,2,2,3,854286853
2,16000,70000,2,2,3,732484871
2,124000,70000,2,2,3,245673671
2,2000,70000,2,2,3,811860841
2,16000,70000,2,2,3,830543461
2,124000,70000,2,2,3,242669972
2,2000,70000,2,2,3,899068771
2,16000,70000,2,2,3,746194749
2,124000,70000,2,2,3,204797075
2,2000,70000,2,2,3,832048271
2,16000,70000,2,2,3,727178560
2,124000,70000,2,2,3,226822490
2,2000,70000,2,2,3,812659827
2,16000,70000,2,2,3,782954039
2,124000,70000,2,2,3,247024526
2,2000,70000,2,2,3,817398873
2,16000,70000,2,2,3,715532071
2,124000,70000,2,2,3,205857785
2,2000,70000,2,2,3,822949539
2,16000,70000,2,2,3,732175382
2,124000,70000,2,2,3,217739548
2,2000,70000,2,2,3,816984380
2,16000,70000,2,2,3,781761085
2,124000,70000,2,2,3,237937242
2,2000,70000,2,2,3,872571954
2,16000,70000,2,2,3,754565946
2,124000,70000,2,2,3,211174755
2,2000,70000,2,2,3,886783567
2,16000,70000,2,2,3,752451632
2,124000,70000,2,2,3,285092037
2,2000,60000,2,2,3,738811232
2,16000,60000,2,2,3,634146399
2,124000,60000,2,2,3,216547385
2,2000,60000,2,2,3,738177649
2,16000,60000,2,2,3,618574457
2,124000,60000,2,2,3,205275915
2,2000,60000,2,2,3,692338180
2,16000,60000,2,2,3,596055992
2,124000,60000,2,2,3,238247915
2,2000,60000,2,2,3,683243789
2,16000,60000,2,2,3,603349110
2,124000,60000,2,2,3,223637204
2,2000,60000,2,2,3,781772929
2,16000,60000,2,2,3,577550223
2,124000,60000,2,2,3,196129811
2,2000,60000,2,2,3,727013552
2,16000,60000,2,2,3,603109493
2,124000,60000,2,2,3,201879829
2,2000,60000,2,2,3,727397650
2,16000,60000,2,2,3,643020515
2,124000,60000,2,2,3,195325299
2,2000,60000,2,2,3,762538045
2,16000,60000,2,2,3,633022923
2,124000,60000,2,2,3,227272512
2,2000,60000,2,2,3,747707454
2,16000,60000,2,2,3,603134758
2,124000,60000,2,2,3,222208187
2,2000,60000,2,2,3,710580647
2,16000,60000,2,2,3,601844695
2,124000,60000,2,2,3,245723015
2,2000,60000,2,2,3,720163350
2,16000,60000,2,2,3,599169828
2,124000,60000,2,2,3,210099044
2,2000,60000,2,2,3,832666854
2,16000,60000,2,2,3,653487867
2,124000,60000,2,2,3,222885983
2,2000,60000,2,2,3,717029381
2,16000,60000,2,2,3,599656957
2,124000,60000,2,2,3,231113883
2,2000,60000,2,2,3,703842161
2,16000,60000,2,2,3,602963829
2,124000,60000,2,2,3,227314356
2,2000,60000,2,2,3,795060022
2,16000,60000,2,2,3,662474884
2,124000,60000,2,2,3,205791861
2,2000,60000,2,2,3,762678183
2,16000,60000,2,2,3,602871851
2,124000,60000,2,2,3,196938667
2,2000,60000,2,2,3,823364821
2,16000,60000,2,2,3,604761153
2,124000,60000,2,2,3,196239159
2,2000,60000,2,2,3,721597894
2,16000,60000,2,2,3,644493350
2,124000,60000,2,2,3,231544562
2,2000,60000,2,2,3,771749677
2,16000,60000,2,2,3,605682514
2,124000,60000,2,2,3,201834826
2,2000,50000,2,2,3,583668942
2,16000,50000,2,2,3,451124462
2,124000,50000,2,2,3,195943882
2,2000,50000,2,2,3,628898907
2,16000,50000,2,2,3,460537026
2,124000,50000,2,2,3,186441708
2,2000,50000,2,2,3,672733804
2,16000,50000,2,2,3,501573498
2,124000,50000,2,2,3,209386905
2,2000,50000,2,2,3,668001863
2,16000,50000,2,2,3,460152139
2,124000,50000,2,2,3,176571622
2,2000,50000,2,2,3,572904734
2,16000,50000,2,2,3,444732967
2,124000,50000,2,2,3,223639572
2,2000,50000,2,2,3,584807418
2,16000,50000,2,2,3,503263843
2,124000,50000,2,2,3,188736820
2,2000,50000,2,2,3,697708442
2,16000,50000,2,2,3,511241863
2,124000,50000,2,2,3,197776734
2,2000,50000,2,2,3,673370941
2,16000,50000,2,2,3,494259063
2,124000,50000,2,2,3,220467312
2,2000,50000,2,2,3,643867268
2,16000,50000,2,2,3,442225872
2,124000,50000,2,2,3,198377158
2,2000,50000,2,2,3,605989634
2,16000,50000,2,2,3,470724101
2,124000,50000,2,2,3,182492569
2,2000,50000,2,2,3,607254827
2,16000,50000,2,2,3,476253449
2,124000,50000,2,2,3,200708982
2,2000,50000,2,2,3,681328433
2,16000,50000,2,2,3,468584918
2,124000,50000,2,2,3,191260891
2,2000,50000,2,2,3,599786437
2,16000,50000,2,2,3,432750542
2,124000,50000,2,2,3,304705887
