size,1,2,3,4,5,6,7,8,9,10,11,12
2048,5132,153560,170930,242775,269619,330411,472129,469760,540422,566476,653716,654111
2048,9079,200536,235669,278698,360807,375414,506473,558975,555027,564502,660427,719641
2048,4737,157113,178035,223826,285409,333569,367913,462655,539632,585423,673849,796224
2048,9474,183562,186325,231722,315015,326858,416468,498972,481998,569239,640689,682139
2048,4737,156323,190667,253433,301989,405415,443312,461075,549106,543185,604372,684902
2048,37896,184351,255407,237643,329227,331990,485155,507262,607530,643452,725563,731878
2048,790,172114,190668,229748,298831,364755,384888,445286,486340,561738,599635,717667
2048,789,171324,171719,252644,291725,342648,409757,506077,491866,611478,678191,715693
2048,790,160271,176456,242380,290146,312253,428705,461075,483971,534105,662007,679771
2048,1579,164614,177640,211195,279488,324884,411337,478839,592529,628058,639900,767407
2048,790,169351,176456,222248,292514,331595,386861,479234,484366,581871,615820,693587
2048,790,174088,232906,228170,283435,351333,393572,460286,478050,564107,627663,659243
2048,789,165008,182377,251065,293304,380150,423574,480023,549895,589372,677007,735826
2048,790,174482,234880,189088,305936,370282,409363,510025,525816,707008,651348,697929
2048,789,167376,166192,243960,301594,337122,381334,469365,516736,525026,653716,762670
2048,790,163034,194220,205273,270408,342648,418837,486735,481997,669902,687271,712140
2048,790,178429,223432,225012,296857,380545,472523,452785,549895,587397,630032,761090
2048,790,180009,178035,213563,338701,353307,410941,451207,500945,581081,600819,745300
2048,1184,181982,202510,206852,300015,322911,375808,450812,495419,556607,645426,717272
2048,789,170535,238433,275145,321332,338306,461470,464234,534105,607531,661611,746485
2048,789,170929,226985,211984,311858,350544,393967,470549,510420,577134,641085,755169
4096,1579,151192,190668,238038,283830,326464,399493,498578,573186,590556,586214,699903
4096,1579,169350,191851,227380,286593,406599,443312,496208,482392,566081,632794,694377
4096,1579,165798,171324,221458,305936,330411,397914,493051,549501,600030,597266,741352
4096,1184,163824,158692,241986,299620,354097,410547,474103,510420,530158,646611,692008
4096,1579,170140,201720,234091,314226,354886,431863,450417,516341,595293,643848,689639
4096,1579,165403,188299,217116,307910,414099,471734,449628,510420,558975,682928,791487
4096,1579,192642,188693,229748,267250,323701,379361,446469,525421,542790,620952,699508
4096,1579,157507,181193,187904,294488,358834,378966,461865,489892,549106,668717,750037
4096,1579,161850,189878,258171,313042,334359,382124,429890,536474,550685,648979,697535
4096,1579,176457,191457,237643,293699,362781,384887,450417,519104,594503,637926,691613
4096,1579,148429,195009,198562,310279,382914,408968,471339,531737,564501,671876,645032
4096,1579,173693,190667,241986,281461,315410,373440,460681,541211,547922,624899,736221
4096,1579,155140,225011,223432,303173,354886,431469,475682,495814,662007,633189,709377
4096,2368,160271,189088,215142,296857,326858,382519,493051,505683,578713,683323,718852
4096,1184,177641,178035,221458,288172,356465,402257,446470,516341,568055,629241,645822
4096,1184,157508,174482,212379,306726,365939,395152,469365,486340,573976,637926,639900
4096,2368,178430,188299,217116,286198,342254,387651,463050,474497,542396,651348,658848
4096,2368,271198,217906,288961,315410,471734,460681,517131,628058,798197,732668,816356
4096,2763,227774,231722,335938,433443,438969,572792,618978,656085,752801,723588,878333
4096,2369,211590,240801,290146,338306,418442,443311,564501,604372,638716,810434,857806
4096,1579,192246,293699,384493,346991,448443,515947,592134,652927,729904,813988,861753
4096,2763,272382,255013,326858,324489,468576,505288,581082,663190,668322,798592,774117
4096,1184,188299,226591,240802,321726,409758,509236,592134,569239,708588,656874,801750
4096,1579,203299,250670,306726,354886,480418,493446,509631,591345,707798,796618,823856
4096,1579,217511,297647,295673,349754,430284,485550,560949,714114,659637,763064,842804
4096,1579,196193,236854,291330,342254,420021,529368,567265,599635,667928,683323,802539
4096,1579,183957,208826,270014,345017,424363,483576,477260,602793,644637,823461,879912
4096,2368,205274,192246,254223,313831,416863,449628,562922,661612,704246,704640,915835
4096,1184,199746,222248,256197,328043,403441,467392,530552,547527,667928,708588,812804
4096,1579,181193,278303,268039,350938,377388,447654,558975,545554,646611,763853,880701
8192,3158,236854,266066,263302,376992,398704,483576,644637,595687,706614,775302,797013
8192,3158,204879,276725,303173,357649,407783,488708,556212,667928,746484,705035,814382
8192,3553,201721,200931,275935,364754,396730,448443,561344,622926,701877,785170,808856
8192,3158,203694,247512,263697,302383,456733,427127,560554,608320,617004,789908,765432
8192,3158,288962,211195,257776,330016,430679,421995,495420,633584,708588,706614,763459
8192,3158,215932,240407,286988,414889,472129,507657,593319,615819,742537,820304,871622
8192,5132,183561,258566,249092,401467,374229,481997,590556,601609,674244,672270,823067
8192,2764,256987,256987,298435,342254,397520,436206,517525,631610,785170,772933,967942
8192,2763,228169,268434,241591,290541,534105,496209,573975,589766,648979,780433,855437
8192,3158,180404,246328,230143,383703,377782,463049,514367,605556,708983,798197,771749
8192,3158,188693,253828,272777,361597,427521,566871,580292,623320,695560,830962,806488
8192,2763,243564,252249,268435,363176,431074,472523,632400,611873,622136,812803,821488
8192,3553,218300,240407,283830,341859,361597,548711,515947,636742,711746,810435,817540
8192,3159,245539,259355,289357,334359,475681,462260,538448,617005,738984,918203,838462
8192,5131,231327,231722,263302,361991,390414,519894,560160,643058,770565,857805,798592
8192,3158,217511,211194,304752,415283,431864,529763,492656,630031,724378,717272,826225
8192,5131,243565,222642,283040,367518,358044,455943,562133,561738,690428,699903,871227
8192,3158,176456,184746,286593,296462,434627,501735,511604,676217,672270,749642,842805
8192,3158,190668,240406,342648,346596,423573,557396,626873,631215,677402,703851,881491
8192,3158,188694,230143,352518,380150,439363,600030,566475,611873,644243,774907,818330
8192,3159,172114,202115,256197,324490,413704,527789,552659,656480,803329,741353,814383
8192,5132,248302,273172,247907,356465,424363,519104,530948,572792,675823,723194,837278
8192,3158,215932,258170,294094,370282,429889,463444,601214,742537,720826,753590,841226
8192,3159,225406,211984,345806,270803,435416,459891,537658,651742,742537,726352,806092
8192,5132,220669,230143,236064,399493,425942,453575,558185,600424,728325,738194,812408
8192,3159,213168,274751,253039,308305,395941,487919,566476,648980,648980,823067,817146
8192,3158,183957,232117,244749,416863,444496,418047,547922,573187,710957,797013,787144
8192,2764,287778,260539,296462,356070,409362,603582,538053,651348,712535,754774,816356
8192,2764,217116,235275,298435,360018,404231,506868,534500,624110,709377,731879,885439
8192,2764,219485,208037,256196,360807,416862,531737,648190,787933,746089,863727,887413
16384,11053,224222,263302,360018,420416,574766,567265,653322,729115,742536,926493,866490
16384,6317,195799,215537,269224,310278,361597,416074,500551,596872,596477,712930,792276
16384,6316,186720,204089,220669,322911,363966,439364,530947,590161,627268,704246,776881
16384,6711,185536,226195,257776,340280,352123,474497,498972,681744,668718,778854,924914
16384,5922,188299,235669,289752,301199,359229,435022,476471,545159,630426,671481,727536
16384,5921,171719,204484,264881,296462,386861,499367,533710,573186,641084,734247,733852
16384,5921,191062,201720,249092,346596,388440,494235,532131,563712,649374,746484,737405
16384,5921,185140,199747,246328,325279,358439,429889,499762,564107,670297,705825,847542
16384,6316,182377,230932,238433,316989,353307,439759,465812,595292,639111,650559,748064
16384,5921,234880,194615,244749,318174,353701,438574,479629,525421,599241,682534,774512
16384,10263,215931,216327,232906,316990,379361,426337,509630,581476,595293,716483,744116
16384,6316,188693,201720,273172,373045,345017,443706,475286,536079,645032,654112,752011
16384,9474,249881,273961,266066,293304,384492,426337,462259,550290,643058,665954,684902
